step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
81,5804608,5184,0.008847248862632232,0.734375,0.734375,0.007659247889057325,0.9375,0.9375,,,,,,
82,5878912,5248,0.007402724234066607,0.890625,0.890625,,,,,,,,,
83,5938880,5312,0.009605441062525108,0.765625,0.765625,,,,,,,,,
84,6023936,5376,0.007580941318751984,0.84375,0.84375,,,,,,,,,
85,6092608,5440,0.008275185289124604,0.8125,0.8125,,,,,,,,,
86,6149504,5504,0.010164020314880859,0.875,0.875,,,,,,,,,
87,6227392,5568,0.00832819237390419,0.90625,0.90625,,,,,,,,,
88,6310912,5632,0.008441008676972023,0.8125,0.8125,,,,,,,,,
89,6366272,5696,0.009969571556817916,0.859375,0.859375,0.008172341290285316,0.953125,0.953125,,,,,,
90,6441088,5760,0.00964516105258461,0.796875,0.796875,,,,,,,,,
91,6522048,5824,0.007351965974684161,0.8125,0.8125,,,,,,,,,
92,6605056,5888,0.007532165713387958,0.859375,0.859375,,,,,,,,,
93,6702912,5952,0.006151315783600234,0.796875,0.796875,,,,,,,,,
94,6780288,6016,0.008847786000849667,0.84375,0.84375,,,,,,,,,
95,6863296,6080,0.007832438013091036,0.890625,0.890625,,,,,,,,,
96,6928384,6144,0.010058489483146714,0.75,0.75,,,,,,,,,
97,6991424,6208,0.010327795899705745,0.84375,0.84375,0.006636515853915303,0.9375,0.9375,,,,,,
98,7062144,6272,0.009356215400225487,0.796875,0.796875,,,,,,,,,
99,7124160,6336,0.010974034516888461,0.796875,0.796875,,,,,,,,,
100,7206656,6400,0.0074867762510467985,0.875,0.875,,,,,,,,,
101,7304512,6464,0.006256676427591226,0.953125,0.953125,,,,,,,,,
102,7387008,6528,0.007796527837068186,0.796875,0.796875,,,,,,,,,
103,7456704,6592,0.00863672461482258,0.828125,0.828125,,,,,,,,,
104,7538176,6656,0.00807342493195077,0.828125,0.828125,,,,,,,,,
105,7618112,6720,0.008243884357752156,0.875,0.875,0.00919755619508871,0.921875,0.921875,,,,,,
106,7665280,6784,0.011035082721752902,0.84375,0.84375,,,,,,,,,
107,7727808,6848,0.0107072829047659,0.859375,0.859375,,,,,,,,,
108,7782656,6912,0.01136823295642488,0.78125,0.78125,,,,,,,,,
109,7856448,6976,0.009331729748012503,0.828125,0.828125,,,,,,,,,
110,7926144,7040,0.008152767758577647,0.796875,0.796875,,,,,,,,,
111,8000960,7104,0.008933252784929712,0.859375,0.859375,,,,,,,,,
112,8067584,7168,0.006876989775002024,0.90625,0.90625,,,,,,,,,
113,8131136,7232,0.009237445410519723,0.8125,0.8125,0.005813438775931662,0.9375,0.9375,,,,,,
114,8221824,7296,0.006573862727748817,0.828125,0.828125,,,,,,,,,
115,8299200,7360,0.008057433920319362,0.90625,0.90625,,,,,,,,,
116,8380672,7424,0.006795748850245434,0.859375,0.859375,,,,,,,,,
117,8441152,7488,0.009952081499041691,0.84375,0.84375,,,,,,,,,
118,8523136,7552,0.007598696382671846,0.890625,0.890625,,,,,,,,,
119,8585664,7616,0.01033736952991659,0.8125,0.8125,,,,,,,,,
120,8662016,7680,0.009071520883461673,0.78125,0.78125,,,,,,,,,
121,8755264,7744,0.007262271219850968,0.828125,0.828125,0.007411118942173255,0.9375,0.9375,,,,,,
122,8823424,7808,0.009423131336405495,0.75,0.75,,,,,,,,,
123,8886464,7872,0.00944102995347428,0.90625,0.90625,,,,,,,,,
124,8966912,7936,0.009134002580578188,0.78125,0.78125,,,,,,,,,
125,9039680,8000,0.007957777111129901,0.796875,0.796875,,,,,,,,,
126,9126784,8064,0.00859587681614635,0.78125,0.78125,,,,,,,,,
127,9197504,8128,0.008078245902995908,0.828125,0.828125,,,,,,,,,
128,9271296,8192,0.00915888385121367,0.796875,0.796875,,,,,,,,,
129,9326144,8256,0.009732120408234577,0.859375,0.859375,0.009575102443477895,0.96875,0.96875,,,,,,
130,9398912,8320,0.009779874901765009,0.90625,0.90625,,,,,,,,,
131,9458880,8384,0.009653150428209807,0.890625,0.890625,,,,,,,,,
132,9517824,8448,0.009380352136286099,0.859375,0.859375,,,,,,,,,
133,9582400,8512,0.008598618733186925,0.890625,0.890625,,,,,,,,,
134,9654144,8576,0.008888362071930288,0.90625,0.90625,,,,,,,,,
135,9729984,8640,0.008423694902557016,0.84375,0.84375,,,,,,,,,
136,9808896,8704,0.007402036929081311,0.890625,0.890625,,,,,,,,,
137,9885760,8768,0.009361774492150244,0.8125,0.8125,0.008659008459231336,0.984375,0.984375,,,,,,
138,9949824,8832,0.008636533012175492,0.90625,0.90625,,,,,,,,,
139,10035904,8896,0.007586499168761483,0.875,0.875,,,,,,,,,
140,10119424,8960,0.007473698842932568,0.84375,0.84375,,,,,,,,,
141,10179904,9024,0.00992048074505713,0.8125,0.8125,,,,,,,,,
142,10263424,9088,0.007417843979819293,0.765625,0.765625,,,,,,,,,
143,10348480,9152,0.0061444884577276995,0.90625,0.90625,,,,,,,,,
144,10421248,9216,0.008439170594432884,0.859375,0.859375,,,,,,,,,
145,10488896,9280,0.009617869449774889,0.78125,0.78125,0.008221738300182094,0.9375,0.9375,,,,,,
146,10570880,9344,0.0076362475480824974,0.8125,0.8125,,,,,,,,,
147,10629312,9408,0.010924311653743662,0.84375,0.84375,,,,,,,,,
148,10710272,9472,0.008030429807304425,0.859375,0.859375,,,,,,,,,
149,10773824,9536,0.009096283530871194,0.78125,0.78125,,,,,,,,,
150,10864000,9600,0.007158251125109761,0.765625,0.765625,,,,,,,,,
151,10928576,9664,0.008877349233924995,0.84375,0.84375,,,,,,,,,
152,11012608,9728,0.008230926922055593,0.8125,0.8125,,,,,,,,,
153,11089472,9792,0.008046430326483287,0.828125,0.828125,0.008038211729742083,0.9375,0.9375,,,,,,
154,11154560,9856,0.007421430132833043,0.796875,0.796875,,,,,,,,,
155,11210432,9920,0.010210343484492937,0.75,0.75,,,,,,,,,
156,11282688,9984,0.008024443428998804,0.890625,0.890625,,,,,,,,,
157,11345728,10048,0.00999575042996373,0.84375,0.84375,,,,,,,,,
158,11435904,10112,0.00659033240858083,0.84375,0.84375,,,,,,,,,
159,11512768,10176,0.008671331683313117,0.6875,0.6875,,,,,,,,,
160,11568128,10240,0.010304573419685336,0.84375,0.84375,,,,,,,,,
161,11640896,10304,0.00858128952363348,0.78125,0.78125,0.008017666872621567,0.953125,0.953125,,,,,,
162,11720320,10368,0.007586726137786026,0.84375,0.84375,,,,,,,,,
163,11798720,10432,0.007968213399964922,0.8125,0.8125,,,,,,,,,
164,11878144,10496,0.00842869140443663,0.734375,0.734375,,,,,,,,,
165,11959616,10560,0.0077910660024405965,0.828125,0.828125,,,,,,,,,
166,12043648,10624,0.008280829529676202,0.859375,0.859375,,,,,,,,,
167,12087232,10688,0.013974928657512887,0.859375,0.859375,,,,,,,,,
168,12171264,10752,0.007584451996570951,0.859375,0.859375,,,,,,,,,
169,12233280,10816,0.010240889291076676,0.84375,0.84375,0.011109122054651057,0.953125,0.953125,,,,,,
170,12316288,10880,0.0069364524605313935,0.8125,0.8125,,,,,,,,,
171,12401344,10944,0.007155678469997256,0.875,0.875,,,,,,,,,
172,12473088,11008,0.00976433643344284,0.859375,0.859375,,,,,,,,,
173,12538688,11072,0.009612223852583372,0.90625,0.90625,,,,,,,,,
174,12606336,11136,0.009530728267930486,0.875,0.875,,,,,,,,,
175,12689856,11200,0.007277826896908817,0.84375,0.84375,,,,,,,,,
176,12756992,11264,0.009435655289257413,0.90625,0.90625,,,,,,,,,
177,12845120,11328,0.0070168796245274005,0.828125,0.828125,0.009514121191310591,0.96875,0.96875,,,,,,
178,12928128,11392,0.00790829128401366,0.90625,0.90625,,,,,,,,,
179,12992704,11456,0.009897825952069323,0.828125,0.828125,,,,,,,,,
180,13056256,11520,0.009483165017435657,0.875,0.875,,,,,,,,,
181,13138240,11584,0.007913622461878192,0.84375,0.84375,,,,,,,,,
182,13207936,11648,0.008268078889062745,0.859375,0.859375,,,,,,,,,
183,13274048,11712,0.00888226847491916,0.796875,0.796875,,,,,,,,,
184,13340160,11776,0.009204838021335825,0.796875,0.796875,,,,,,,,,
185,13421120,11840,0.00778172207996519,0.859375,0.859375,0.0064453204800864645,0.96875,0.96875,,,,,,
186,13506688,11904,0.00610302605310664,0.78125,0.78125,,,,,,,,,
187,13575872,11968,0.00884168560164908,0.921875,0.921875,,,,,,,,,
188,13659392,12032,0.007958518976024932,0.75,0.75,,,,,,,,,
189,13715776,12096,0.010019669346531123,0.875,0.875,,,,,,,,,
190,13766016,12160,0.011064243008196611,0.78125,0.78125,,,,,,,,,
191,13821888,12224,0.010372715251231032,0.84375,0.84375,,,,,,,,,
192,13887488,12288,0.009126423279077736,0.84375,0.84375,,,,,,,,,
193,13973568,12352,0.008171817957723765,0.828125,0.828125,0.009258991257005167,0.90625,0.90625,,,,,,
194,14051968,12416,0.009830211956509547,0.953125,0.953125,,,,,,,,,
195,14134464,12480,0.007989656170577503,0.8125,0.8125,,,,,,,,,
196,14209280,12544,0.007400631796814874,0.8125,0.8125,,,,,,,,,
197,14295872,12608,0.006326706861726853,0.84375,0.84375,,,,,,,,,
198,14387072,12672,0.006829952555655635,0.859375,0.859375,,,,,,,,,
199,14446528,12736,0.009353202452014452,0.921875,0.921875,,,,,,,,,
200,14490112,12800,0.011562000809629314,0.828125,0.828125,,,,,,,,,
201,14595136,12864,0.007257227542527315,0.828125,0.828125,0.008704575243631954,0.96875,0.96875,,,,,,
