iter	Passed	Remaining
441	1272	4484
442	1275	4481
443	1277	4478
444	1281	4476
445	1284	4474
446	1287	4472
447	1290	4470
448	1293	4468
449	1296	4465
450	1299	4462
451	1302	4459
452	1304	4456
453	1307	4453
454	1310	4450
455	1313	4447
456	1316	4445
457	1319	4442
458	1322	4439
459	1325	4435
460	1327	4432
461	1330	4429
462	1333	4425
463	1335	4422
464	1338	4419
465	1341	4416
466	1344	4413
467	1347	4410
468	1350	4408
469	1353	4404
470	1355	4401
471	1358	4398
472	1361	4395
473	1364	4393
474	1367	4391
475	1370	4388
476	1373	4386
477	1376	4383
478	1379	4380
479	1382	4378
480	1385	4375
481	1388	4372
482	1391	4369
483	1394	4367
484	1397	4365
485	1400	4362
486	1403	4359
487	1405	4355
488	1408	4353
489	1411	4350
490	1414	4346
491	1416	4342
492	1419	4339
493	1422	4336
494	1425	4334
495	1428	4331
496	1431	4328
497	1434	4326
498	1437	4322
499	1439	4319
500	1442	4316
501	1445	4312
502	1448	4309
503	1450	4306
504	1453	4302
505	1456	4299
506	1458	4296
507	1461	4293
508	1464	4290
509	1467	4286
510	1470	4284
511	1473	4281
512	1475	4277
513	1478	4274
514	1481	4271
515	1483	4267
516	1486	4263
517	1488	4259
518	1491	4256
519	1494	4253
520	1497	4250
521	1499	4247
522	1502	4243
523	1505	4240
524	1508	4237
525	1510	4233
526	1513	4230
527	1516	4227
528	1518	4223
529	1521	4220
530	1524	4216
531	1527	4213
532	1529	4210
533	1532	4207
534	1535	4204
535	1538	4200
536	1540	4197
537	1543	4193
538	1546	4191
539	1548	4187
540	1551	4185
541	1554	4181
542	1557	4177
543	1559	4174
544	1562	4172
545	1565	4169
546	1568	4165
547	1571	4162
548	1573	4159
549	1576	4156
550	1579	4152
551	1581	4149
552	1584	4146
553	1587	4143
554	1589	4139
555	1592	4136
556	1595	4133
557	1598	4129
558	1600	4126
559	1603	4123
560	1606	4120
561	1609	4117
562	1611	4114
563	1614	4110
564	1617	4107
565	1620	4104
566	1622	4101
567	1625	4097
568	1627	4094
569	1630	4091
570	1634	4089
571	1637	4086
572	1640	4084
573	1643	4082
574	1646	4079
575	1649	4077
576	1652	4075
577	1655	4073
578	1658	4070
579	1661	4067
580	1664	4065
581	1667	4062
582	1670	4060
583	1673	4057
584	1676	4055
585	1679	4052
586	1682	4049
587	1685	4046
588	1688	4044
589	1691	4041
590	1694	4039
591	1697	4036
592	1700	4034
593	1703	4031
594	1706	4028
595	1708	4025
596	1711	4022
597	1714	4019
598	1717	4016
599	1720	4013
600	1722	4010
601	1725	4007
602	1728	4004
603	1731	4001
604	1734	3998
605	1737	3996
606	1740	3994
607	1743	3991
608	1746	3988
609	1749	3986
610	1752	3983
611	1755	3980
612	1757	3977
613	1761	3975
614	1764	3972
615	1767	3970
616	1769	3967
617	1772	3964
618	1775	3962
619	1778	3959
620	1781	3956
621	1784	3953
622	1787	3950
623	1789	3946
624	1792	3943
625	1795	3940
626	1798	3938
627	1801	3935
628	1804	3932
629	1806	3929
630	1809	3926
631	1812	3923
632	1815	3920
633	1818	3918
634	1821	3915
635	1824	3913
636	1827	3911
637	1830	3908
638	1833	3905
639	1836	3902
640	1839	3899
641	1842	3896
642	1844	3893
643	1847	3890
644	1850	3887
645	1853	3884
646	1856	3881
647	1859	3878
648	1861	3875
