iter	RMSE
0	1.129945848
1	1.102029285
2	1.075028223
3	1.049242156
4	1.025348701
5	1.002008655
6	0.9824022782
7	0.9617257761
8	0.9431686414
9	0.9243989127
10	0.9067336604
11	0.8897560098
12	0.8741477907
13	0.8599891946
14	0.846350402
15	0.8333441644
16	0.8223611754
17	0.8099317927
18	0.7992467097
19	0.7883111922
20	0.7789215512
21	0.7691198654
22	0.759350871
23	0.7509191154
24	0.7431610766
25	0.7353140112
26	0.7277551998
27	0.7196562711
28	0.712023955
29	0.7054639757
30	0.7001588251
31	0.6948759177
32	0.6886525066
33	0.6842328756
34	0.6787791503
35	0.6731959144
36	0.6680831197
37	0.6627099861
38	0.6590905579
39	0.6556317217
40	0.6521352862
41	0.6489998251
42	0.6444814815
43	0.6408474767
44	0.6376297215
45	0.6342069666
46	0.6315167366
47	0.627968309
48	0.6252867463
49	0.6217628921
50	0.619241357
51	0.6166806742
52	0.6124915766
53	0.6102007122
54	0.6076851915
55	0.6058205294
56	0.6039763977
57	0.6004987384
58	0.598571084
59	0.5970292207
60	0.5954475606
61	0.5937461958
62	0.5921847328
63	0.5904038918
64	0.5877399356
65	0.5866202958
66	0.5844776911
67	0.583181009
68	0.5817959097
69	0.5794719513
70	0.5776291398
71	0.5765006212
72	0.5749089
73	0.5740326387
74	0.5729410431
75	0.5719896387
76	0.5696918302
77	0.5683833327
78	0.5663435011
79	0.5654798334
80	0.5635278791
81	0.5621993749
82	0.5610745749
83	0.5603518134
84	0.5588928266
85	0.558091486
86	0.5575172721
87	0.5566102273
88	0.5556765486
89	0.554408547
90	0.5534000749
91	0.5517625819
92	0.5510161528
93	0.54958997
94	0.5486299493
95	0.5472897441
96	0.5465452263
97	0.5454130944
98	0.5445840457
99	0.5434877249
100	0.5421245036
101	0.5416796572
102	0.5411451561
103	0.5405327594
104	0.5398167028
105	0.5393593943
106	0.5385127176
107	0.5378582641
108	0.5368991562
109	0.5362953605
110	0.5350741904
111	0.5339115196
112	0.5333331954
113	0.5325785247
114	0.5318862974
115	0.5311961916
116	0.530946214
117	0.5302091777
118	0.5292016919
119	0.5285984719
120	0.5278876676
121	0.5272573716
122	0.5266089062
123	0.5262641359
124	0.5256267897
125	0.5248297947
126	0.5239736294
127	0.5231979703
128	0.5225102201
129	0.5220739359
130	0.5213163343
131	0.5208158584
132	0.519965497
133	0.5193344701
134	0.5188990388
135	0.5181843915
136	0.5179094227
137	0.5173451179
138	0.5167650292
139	0.516446672
140	0.5161461919
141	0.5156649042
142	0.5152283901
143	0.5144289862
144	0.5141246373
145	0.5136677413
146	0.5132332139
147	0.5130273118
148	0.5126479152
149	0.5115678161
150	0.511188974
151	0.5110056637
152	0.5105577344
153	0.5101118536
154	0.5094288946
155	0.5089195462
156	0.5085308951
157	0.5080812897
158	0.5075673106
159	0.5072054717
160	0.5068568955
161	0.5062790649
162	0.5058042696
163	0.5054943935
164	0.5046694877
165	0.5042454897
166	0.5037939489
167	0.5033477985
168	0.5029174657
169	0.5028266958
170	0.5023089384
171	0.50189012
172	0.5012233247
173	0.5009006081
174	0.5005139943
175	0.5001321418
176	0.4997398332
177	0.4991687122
178	0.4985910033
179	0.4981120508
180	0.4972162354
181	0.4968571599
182	0.4963864152
183	0.4957852676
184	0.4955053522
185	0.4950152984
186	0.4945691551
187	0.4942236091
188	0.4939364168
189	0.4933468039
190	0.4930422068
191	0.4926787792
192	0.4923121043
193	0.4914467254
194	0.4909096465
195	0.4905422337
196	0.4899743954
197	0.489464251
198	0.4888522835
199	0.4883487798
200	0.4880551519
201	0.4878115613
202	0.4874785827
203	0.4872223045
204	0.4869305215
205	0.4865122694
206	0.4859851657
207	0.4856284152
208	0.4852405035
209	0.4845645441
210	0.4842002928
211	0.4835652636
212	0.4831301008
213	0.4827714722
214	0.4820436142
215	0.4815358944
216	0.4812829324
217	0.4807158846
218	0.4804463614
219	0.4800349853
