step,mloss,gloss,loss
100.0,0.0,0.8035,0.8035
200.0,0.0,0.6921,0.6921
300.0,0.0,0.6529,0.6529
400.0,0.0,0.6113,0.6113
500.0,0.0,0.5894,0.5894
600.0,0.0,0.5836,0.5836
700.0,0.0,0.5758,0.5758
800.0,0.0,0.5672,0.5672
900.0,0.0,0.5641,0.5641
1000.0,0.0,0.5634,0.5634
