iter	Passed	Remaining
434	1512	5441
435	1515	5437
436	1519	5433
437	1522	5430
438	1526	5427
439	1529	5423
440	1533	5420
441	1536	5416
442	1540	5413
443	1545	5415
444	1550	5416
445	1553	5413
446	1557	5411
447	1561	5408
448	1564	5405
449	1568	5403
450	1572	5401
451	1576	5397
452	1579	5394
453	1583	5391
454	1586	5386
455	1590	5384
456	1593	5380
457	1597	5377
458	1600	5374
459	1604	5372
460	1608	5368
461	1611	5364
462	1614	5360
463	1618	5358
464	1622	5355
465	1625	5351
466	1628	5346
467	1632	5343
468	1635	5339
469	1639	5337
470	1643	5334
471	1646	5330
472	1649	5326
473	1653	5323
474	1657	5320
475	1660	5317
476	1664	5313
477	1667	5310
478	1671	5307
479	1674	5304
480	1678	5300
481	1682	5297
482	1685	5294
483	1688	5289
484	1692	5285
485	1695	5281
486	1699	5278
487	1702	5275
488	1706	5271
489	1709	5268
490	1712	5264
491	1716	5261
492	1720	5258
493	1723	5255
494	1727	5253
495	1731	5250
496	1734	5246
497	1738	5242
498	1741	5239
499	1745	5236
500	1748	5232
501	1752	5229
502	1756	5227
503	1759	5223
504	1763	5219
505	1766	5216
506	1770	5213
507	1773	5209
508	1777	5206
509	1780	5202
510	1784	5199
511	1788	5196
512	1791	5192
513	1794	5189
514	1798	5185
515	1802	5183
516	1805	5178
517	1808	5174
518	1812	5172
519	1816	5168
520	1819	5165
521	1822	5161
522	1826	5158
523	1829	5153
524	1833	5151
525	1837	5148
526	1840	5144
527	1844	5140
528	1847	5137
529	1851	5135
530	1855	5131
531	1858	5127
532	1861	5124
533	1865	5120
534	1868	5116
535	1871	5112
536	1875	5109
537	1878	5105
538	1882	5102
539	1885	5098
540	1889	5095
541	1892	5091
542	1896	5087
543	1899	5084
544	1902	5080
545	1906	5076
546	1910	5075
547	1914	5072
548	1917	5068
549	1921	5065
550	1924	5061
551	1928	5058
552	1932	5055
553	1935	5051
554	1938	5047
555	1942	5044
556	1945	5041
557	1949	5037
558	1952	5033
559	1956	5030
560	1960	5027
561	1963	5024
562	1967	5021
563	1970	5018
564	1974	5015
565	1977	5010
566	1980	5006
567	1984	5002
568	1987	4999
569	1991	4996
570	1994	4992
571	1998	4988
572	2001	4985
573	2005	4982
574	2008	4978
575	2012	4974
576	2015	4971
577	2019	4967
578	2022	4963
579	2025	4960
580	2029	4956
581	2032	4952
582	2036	4949
583	2040	4946
584	2043	4943
585	2047	4940
586	2050	4936
587	2054	4932
588	2057	4929
589	2061	4926
590	2065	4923
591	2068	4919
592	2072	4916
593	2075	4912
594	2078	4909
595	2082	4905
596	2086	4902
597	2089	4899
598	2093	4897
599	2097	4893
600	2100	4889
601	2103	4885
602	2107	4882
603	2110	4878
604	2114	4875
605	2118	4872
606	2121	4868
607	2125	4865
608	2128	4861
609	2131	4858
610	2135	4854
611	2139	4851
612	2142	4848
613	2146	4845
614	2149	4841
615	2153	4837
616	2156	4833
617	2159	4828
618	2162	4824
619	2166	4821
620	2169	4817
621	2173	4814
622	2176	4811
623	2180	4807
624	2183	4803
625	2186	4799
626	2190	4796
627	2193	4793
628	2197	4789
629	2200	4785
630	2204	4781
631	2207	4778
632	2210	4774
633	2214	4771
634	2218	4768
635	2221	4764
636	2225	4761
637	2228	4758
638	2232	4754
639	2235	4750
640	2239	4747
641	2242	4743
642	2245	4739
643	2249	4736
644	2253	4733
645	2256	4729
646	2260	4726
647	2263	4722
648	2267	4719
649	2270	4716
650	2274	4712
651	2277	4708
652	2280	4704
653	2284	4701
654	2288	4698
655	2291	4694
656	2295	4691
657	2298	4688
658	2302	4685
659	2305	4681
660	2309	4678
661	2312	4674
662	2317	4672
663	2320	4668
664	2324	4665
665	2327	4662
666	2331	4658
667	2334	4654
668	2337	4650
669	2341	4647
670	2344	4643
671	2347	4640
672	2351	4636
673	2355	4633
674	2359	4630
675	2362	4626
676	2365	4623
677	2369	4619
678	2373	4617
679	2376	4613
680	2380	4609
681	2383	4606
682	2387	4602
683	2391	4600
684	2394	4596
685	2397	4592
686	2401	4588
687	2404	4585
688	2408	4583
689	2412	4580
690	2415	4575
691	2419	4572
692	2422	4568
693	2425	4564
694	2429	4561
695	2432	4557
696	2436	4554
697	2439	4550
698	2442	4546
699	2446	4543
700	2449	4539
701	2452	4535
702	2456	4531
703	2459	4528
704	2463	4524
705	2466	4520
706	2470	4517
707	2474	4514
708	2477	4511
709	2481	4508
710	2484	4504
711	2487	4500
712	2491	4496
713	2495	4493
714	2499	4492
715	2503	4489
716	2506	4485
717	2509	4481
718	2513	4478
719	2516	4474
720	2520	4470
721	2523	4466
722	2526	4463
723	2530	4459
724	2533	4455
725	2537	4452
726	2540	4448
727	2544	4445
728	2547	4440
729	2550	4437
730	2554	4434
731	2557	4430
732	2561	4427
733	2565	4424
734	2568	4420
735	2572	4417
736	2575	4414
737	2579	4410
738	2582	4406
739	2585	4402
740	2588	4398
741	2592	4395
742	2596	4393
743	2601	4392
744	2605	4389
745	2608	4385
746	2612	4382
747	2616	4378
748	2619	4375
749	2622	4371
750	2626	4368
751	2630	4364
752	2633	4361
753	2637	4357
754	2640	4354
755	2643	4350
756	2647	4346
757	2650	4343
758	2653	4339
759	2657	4335
760	2660	4332
761	2664	4328
762	2667	4325
763	2671	4321
764	2674	4317
765	2678	4314
766	2681	4311
767	2685	4307
768	2688	4304
769	2692	4300
770	2695	4297
771	2698	4293
772	2702	4289
773	2706	4286
774	2709	4282
775	2713	4279
776	2716	4275
777	2719	4272
778	2722	4267
779	2727	4265
780	2730	4262
781	2734	4258
782	2737	4255
783	2741	4251
784	2744	4247
785	2747	4244
786	2751	4240
787	2754	4237
788	2758	4233
789	2762	4230
790	2765	4226
791	2768	4222
792	2772	4219
793	2775	4215
794	2778	4211
795	2782	4208
796	2785	4204
797	2788	4200
798	2792	4197
799	2795	4193
800	2798	4189
801	2802	4186
802	2806	4182
803	2809	4179
804	2813	4175
805	2816	4172
806	2819	4168
807	2823	4165
808	2826	4161
809	2830	4158
810	2834	4155
811	2837	4151
812	2841	4147
813	2844	4144
814	2847	4140
815	2851	4137
816	2854	4133
817	2858	4129
818	2861	4126
819	2865	4123
820	2868	4119
821	2872	4116
822	2875	4112
823	2879	4109
824	2882	4105
825	2885	4101
826	2889	4098
827	2893	4095
828	2896	4091
829	2899	4087
830	2903	4084
831	2906	4080
832	2910	4077
833	2913	4073
834	2917	4069
835	2920	4066
836	2924	4063
837	2927	4059
838	2931	4056
839	2934	4052
840	2937	4048
841	2941	4045
842	2944	4041
843	2948	4038
844	2952	4035
845	2956	4032
846	2959	4028
847	2963	4025
848	2966	4021
849	2970	4018
850	2974	4015
851	2977	4012
852	2980	4008
853	2984	4004
854	2987	4001
855	2991	3997
856	2994	3994
857	2997	3990
858	3001	3987
859	3004	3983
860	3008	3979
861	3011	3976
862	3015	3972
863	3018	3969
864	3022	3965
865	3025	3961
866	3029	3958
867	3032	3954
868	3036	3952
869	3040	3948
870	3043	3945
871	3046	3941
872	3050	3938
873	3054	3934
874	3057	3930
875	3060	3927
876	3064	3924
877	3068	3921
878	3071	3917
879	3075	3913
880	3079	3910
881	3083	3907
882	3086	3904
883	3090	3901
884	3094	3898
885	3097	3894
886	3100	3890
887	3104	3887
888	3107	3883
889	3110	3879
890	3114	3876
891	3118	3873
892	3121	3869
893	3125	3866
894	3128	3863
895	3132	3859
896	3135	3856
897	3139	3852
898	3143	3849
899	3146	3845
900	3150	3843
901	3154	3839
902	3158	3836
903	3161	3833
904	3164	3829
905	3168	3825
906	3171	3822
907	3175	3818
908	3178	3815
909	3182	3811
910	3185	3807
911	3189	3804
912	3192	3800
913	3195	3797
914	3199	3793
915	3203	3790
916	3206	3787
917	3210	3783
918	3213	3780
919	3217	3776
920	3220	3772
921	3224	3769
922	3227	3766
923	3231	3763
924	3234	3759
925	3238	3756
926	3242	3752
927	3245	3749
928	3249	3746
929	3252	3742
930	3256	3738
931	3259	3735
932	3262	3731
933	3266	3728
934	3269	3724
935	3273	3721
936	3276	3717
937	3280	3714
938	3284	3710
939	3287	3707
940	3290	3703
941	3294	3699
942	3298	3696
943	3301	3693
944	3304	3689
945	3308	3685
946	3311	3682
947	3315	3678
948	3318	3675
949	3322	3671
950	3325	3668
951	3329	3664
952	3332	3661
953	3336	3658
954	3340	3655
955	3343	3651
956	3346	3647
957	3350	3644
958	3353	3640
959	3357	3637
960	3360	3633
961	3364	3630
962	3367	3626
963	3371	3623
964	3374	3619
965	3378	3616
966	3381	3612
967	3384	3608
968	3388	3605
969	3391	3601
970	3395	3598
971	3398	3594
972	3402	3591
973	3405	3587
974	3409	3584
975	3413	3581
976	3416	3577
977	3420	3574
978	3423	3570
979	3427	3567
980	3430	3563
981	3434	3560
982	3437	3556
983	3441	3552
984	3444	3549
985	3448	3546
986	3451	3542
987	3455	3539
988	3459	3536
989	3462	3532
990	3466	3529
991	3470	3526
992	3473	3522
993	3477	3519
994	3480	3515
995	3483	3511
996	3487	3508
997	3490	3504
998	3494	3501
999	3497	3497
1000	3501	3494
1001	3504	3490
1002	3507	3486
1003	3511	3483
1004	3514	3479
1005	3518	3476
1006	3521	3472
1007	3524	3468
1008	3528	3465
1009	3531	3461
1010	3534	3458
1011	3538	3454
1012	3541	3451
1013	3545	3447
1014	3548	3444
1015	3552	3440
1016	3555	3436
1017	3559	3433
1018	3563	3430
1019	3566	3426
1020	3570	3423
1021	3573	3419
1022	3577	3416
1023	3580	3412
1024	3584	3409
1025	3587	3406
1026	3591	3402
1027	3594	3399
1028	3598	3395
1029	3601	3392
1030	3604	3388
1031	3608	3384
1032	3611	3381
1033	3615	3377
1034	3618	3373
1035	3622	3370
1036	3625	3367
1037	3629	3363
1038	3632	3360
1039	3636	3356
1040	3639	3353
1041	3643	3349
1042	3646	3346
1043	3650	3342
1044	3653	3338
1045	3656	3335
1046	3659	3331
1047	3663	3327
1048	3666	3324
1049	3670	3320
1050	3673	3317
1051	3677	3313
1052	3680	3310
1053	3684	3306
1054	3687	3302
1055	3690	3299
1056	3694	3296
1057	3698	3293
1058	3702	3289
1059	3705	3286
1060	3709	3282
1061	3712	3278
1062	3716	3275
1063	3719	3271
1064	3722	3268
1065	3726	3264
1066	3729	3260
1067	3732	3257
1068	3736	3254
1069	3739	3250
1070	3743	3246
1071	3746	3243
1072	3749	3239
1073	3753	3235
1074	3756	3232
1075	3760	3228
1076	3763	3225
1077	3767	3222
